"Month" "Year" "Chla" "SST" "MEI"
"11" 11 2015 0.0965914055152412 28.5124448259504 1.88
"12" 12 2015 0.116669876569241 27.0726494720996 1.9
"13" 1 2016 0.150393988978744 25.7295376620185 1.94
"14" 2 2016 0.16134636782381 25.3045466879938 1.81
"15" 3 2016 0.123088126177349 25.4294921433075 1.31
"16" 4 2016 0.105338993347795 25.2583700715168 1.33
"17" 5 2016 0.0801159404447005 25.1220859449444 1.26
"18" 6 2016 0.0834274235422741 26.4211611553924 0.36
"19" 7 2016 0.0852623958162378 28.4912100829795 -0.51
"20" 8 2016 0.0825145046476727 28.257180734187 -0.28
"21" 9 2016 0.0851028000032167 28.3202554842318 -0.34
"22" 10 2016 0.0792927084309261 29.2611660168402 -0.6
"23" 11 2016 0.0845703426362596 28.6957582703917 -0.51
"24" 12 2016 0.102896411741521 26.5824283701176 -0.34
"25" 1 2017 0.112384360481564 25.1268560088455 -0.41
"26" 2 2017 0.115329328277495 24.4834722870389 -0.41
"27" 3 2017 0.111485057617536 24.7723862508078 -0.58
"28" 4 2017 0.0956087125853235 25.1197078507275 -0.21
"29" 5 2017 0.0996448205909155 25.0039309254042 0.17
"30" 6 2017 0.109014970682278 24.8588683298597 -0.29
"31" 7 2017 0.0966350140312386 27.7066311318702 -0.7
"32" 8 2017 0.078956022132703 28.1086323158153 -0.77
"33" 9 2017 0.0928060225124682 27.5179548657555 -0.8
"34" 10 2017 0.106552103000333 27.3870173929654 -0.63
"35" 11 2017 0.0954703222940091 28.0118436741869 -0.63
"36" 12 2017 0.115558327787067 26.7556051099891 -0.73
"37" 1 2018 0.110145445273887 25.4805117190841 -0.77
"38" 2 2018 0.100764798091637 25.5972074461753 -0.7
"39" 3 2018 0.0956544991839064 25.557735929526 -0.79
"40" 4 2018 0.0951701426681324 25.9517264423899 -1.29
"41" 5 2018 0.0916008978593008 25.37132340558 -0.91
"42" 6 2018 0.0962975609643756 25.8782315100769 -0.51
"43" 7 2018 0.0958539047115952 28.1078632079222 -0.17
"44" 8 2018 0.0886711667339204 28.2526679886917 0.36
"45" 9 2018 0.0940372789039416 29.0923379047679 0.52
"46" 10 2018 0.0911167918482732 28.7187803320599 0.41
"47" 11 2018 0.103628956164513 27.1374653334218 0.26
"48" 12 2018 0.126447014151415 25.6877213584718 0.13
"49" 1 2019 0.129636331308665 24.9708317153383 0.08
"50" 2 2019 0.122956329192314 25.8749094072059 0.52
"51" 3 2019 0.112989627883331 25.3570109057033 0.77
"52" 4 2019 0.100195252888774 25.8598801822065 0.33
"53" 5 2019 0.102293098725687 24.6388230776245 0.26
"54" 6 2019 0.0987560883517056 25.1589072503878 0.35
"55" 7 2019 0.0890000321037642 27.7759475881471 0.24
"56" 8 2019 0.0838845968494572 29.2645498511516 0.3
"57" 9 2019 0.0775669118481276 29.1134315286669 0.15
"58" 10 2019 0.0897165840951642 27.5732418402684 0.27
"59" 11 2019 NA NA 0.45
"60" 12 2019 NA NA 0.41
"61" 1 2020 NA NA 0.29
"62" 2 2020 NA NA 0.3
